Title,Authors,Date,Publication_Link
Unlocking creative leadership in the primary school,"['Megan Crawford', 'Deborah Outhwaite', 'Matthew Crawford']",11 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/unlocking-creative-leadership-in-the-primary-school
Uses of corpus linguistics in education research: An adjustable lens,"['Sian Alsop', 'Virginia King', 'Genie Giaimo', 'Xiaoyu Xu']",2021,https://pureportal.coventry.ac.uk/en/publications/uses-of-corpus-linguistics-in-education-research-an-adjustable-le
Using narrative conventions to analyse travel stories,['Dimitar Angelov'],1 May 2021,https://pureportal.coventry.ac.uk/en/publications/using-narrative-conventions-to-analyse-travel-stories
Where Her Breast Wasn't There: Transfemininity and the Philippine Modern,['Jaya Jacobo'],21 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/where-her-breast-wasnt-there-transfemininity-and-the-philippine-m
“Everyone seems to be agreeing at the minute that face-to-face is the way forward”: Practitioners’ perspectives on post-pandemic Mathematics and Statistics Support,"['Holly Gilbert', 'Mark Hodds', 'Duncan Lawson']",1 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/everyone-seems-to-be-agreeing-at-the-minute-that-face-to-face-is-
Academic development to support the internationalization of the curriculum (IoC): A qualitative research synthesis,"['Katherine Wimpenny', 'Jos Beelen', 'Virginia King']",2 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/academic-development-to-support-the-internationalization-of-the-c
A corpus-driven investigation of connections between the language of written feedback information and ethnic attainment disparity in UK higher education,"['Sian Alsop', 'Sheena Gardner', 'Joel Priestley']",6 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/a-corpus-driven-investigation-of-connections-between-the-language
Breaking boundaries and building bridges across knowledge-sharing communities: OpenMed,"['Katherine Wimpenny', 'Cristina Stefanelli', 'Saida Affouneh', 'Ahmed Almakari', 'Adiy Tweissi,', 'Habi Abdel Naby', 'T Seddik']",20 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/breaking-boundaries-and-building-bridges-across-knowledge-sharing
Cultural diversity in the adoption of open education in the Mediterranean basin: collectivist values and power distance in the universities of the Middle East,"['Romina Cachia', 'Mohammed Aldaoud', 'Ayman Eldeib', 'Omar Hiari', 'A Tweissi', 'Daniel Villar-Onrubia', 'Katherine Wimpenny', 'Isidro Maya']",2020,https://pureportal.coventry.ac.uk/en/publications/cultural-diversity-in-the-adoption-of-open-education-in-the-medit
Decolonising academic selves through auto-ethnography,"['Jos Beelen', 'Katherine Wimpenny', 'Karine Hindrix', 'Virginia King', 'Ellen Sjoer']",3 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/decolonising-academic-selves-through-auto-ethnography
From COIL to curriculum transformation in South Africa: How can curriculum decolonization operate in the third space in Global South-North collaborations?,"['Jos Beelen', 'Katherine Wimpenny', 'Cornelius Hagenmeier', 'Lynette Jones']",3 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/from-coil-to-curriculum-transformation-in-south-africa-how-can-cu
Innovation in Collaborative Online International Learning: A Holistic Blend,"['Katherine Wimpenny', 'Marina Orsini-Jones']",20 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/innovation-in-collaborative-online-international-learning-a-holis
"Mapping Community, Social, and Economic risks to investigate the association with school violence and bullying in Italy","['Carlo Tramontano', 'Annalaura Nocentini', 'Laura Palmerio', 'Bruno Losito', 'Ersilia Menesini']",Nov 2020,https://pureportal.coventry.ac.uk/en/publications/mapping-community-social-and-economic-risks-to-investigate-the-as
Neurodiversity in higher education: a narrative synthesis,"['Deanne Clouder', 'Mehmet Karakus', 'Alessia Cinotti', 'Maria Virginia Ferreyra', 'Genoveva Amador Fierros', 'Patricia Rojo']",1 Oct 2020,https://pureportal.coventry.ac.uk/en/publications/neurodiversity-in-higher-education-a-narrative-synthesis
"Protocol for a systematic review of measures of attainment in literacy, mathematics and science.","['Helen Breadmore', 'Julia Carroll']",14 May 2020,https://pureportal.coventry.ac.uk/en/publications/protocol-for-a-systematic-review-of-measures-of-attainment-in-lit
The Anti-Ecological University,['Luca Morini'],Jul 2020,https://pureportal.coventry.ac.uk/en/publications/the-anti-ecological-university
The Role of Traditional and Online Moral Disengagement on Cyberbullying: Do Externalising Problems Make Any Difference?,"['Marinella Paciello', 'Carlo Tramontano', 'Annalaura Nocentini', 'Roberta Fida', 'Ersilia Menesini']",1 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/the-role-of-traditional-and-online-moral-disengagement-on-cyberbu
Towards a Final Absolution: A South by South Approach to Trans Resistance from Brazil and the Philippines,"['Jaya Jacobo', 'Maria Rafaela Silva']",1 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/towards-a-final-absolution-a-south-by-south-approach-to-trans-res
"You Can Deny Seriousness, But You Can’t Deny Play’: Emergent Resistance to Purposive Games.",['Luca Morini'],19 Nov 2020,https://pureportal.coventry.ac.uk/en/publications/you-can-deny-seriousness-but-you-cant-deny-play-emergent-resistan
Can the Benefits of Creative Methods Support the Inclusion of Children as part of Intergenerational Research Projects?,"['Georgia Kirtland', 'Nikki Holliday', 'Julia Carroll']",2 May 2019,https://pureportal.coventry.ac.uk/en/publications/can-the-benefits-of-creative-methods-support-the-inclusion-of-chi
Capacity Building for Virtual Innovative Teaching and Learning in Jordan – Experiences of the JOVITAL project,"['Katherine Wimpenny', 'Alun DeWinter', 'Arinola Adefila', 'Wissam Tawileh', 'Nada Trunk', 'Edward Jaser']",18 Jun 2019,https://pureportal.coventry.ac.uk/en/publications/capacity-building-for-virtual-innovative-teaching-and-learning-in
Carnival of invention,"['Jenny Fennessy', 'Sandie Woods', 'Helen Johnson', 'Carol Rivas', 'David Norbury', 'Isilda Almeida-Harvey', 'Jessica Moriarty', 'Katherine Wimpenny', 'Kerensa Bushell', 'Polly Blake']",1 May 2019,https://pureportal.coventry.ac.uk/en/publications/carnival-of-invention
"Connecting Leadership, Professional Development and Affect","['Steven Watson', 'Megan Crawford']",18 Feb 2019,https://pureportal.coventry.ac.uk/en/publications/connecting-leadership-professional-development-and-affect
Developmental Language Disorder: Cognition in Childhood,"['Julia Carroll', 'Sarah Critten']",20 Dec 2019,https://pureportal.coventry.ac.uk/en/publications/developmental-language-disorder-cognition-in-childhood
Filling the Puzzle: Using E-Work Wellbeing scale (EWW) to determine links between remote e-working and cognitive weariness and psychosomatic conditions,"['N Charalampous', 'Christine Grant', 'Carlo Tramontano']",1 Jun 2019,https://pureportal.coventry.ac.uk/en/publications/filling-the-puzzle-using-e-work-wellbeing-scale-eww-to-determine-
Game-based learning to teach higher order thinking in rural schools: Case studies in Sarawak Borneo,"['Fitri Suraya Mohamad', 'Luca Morini', 'Jacey Lynn Minoi', 'Sylvester Arnab']",1 Jun 2019,https://pureportal.coventry.ac.uk/en/publications/game-based-learning-to-teach-higher-order-thinking-in-rural-schoo
Global knowledge-exchange for widening participation in learning through Open Education Practices,['Katherine Wimpenny'],13 May 2019,https://pureportal.coventry.ac.uk/en/publications/global-knowledge-exchange-for-widening-participation-in-learning-
Headteacher performance management in England: Balancing internal and external accountability through performance leadership,"['David Eddy-Spicer', 'Sara Bubb', 'Peter Earley', 'Megan Crawford', 'Chris James']",1 Mar 2019,https://pureportal.coventry.ac.uk/en/publications/headteacher-performance-management-in-england-balancing-internal-
Representation of Faith Using Social Media,['Emmanuel Johnson'],23 May 2019,https://pureportal.coventry.ac.uk/en/publications/representation-of-faith-using-social-media
Research as a Game of Empire,['Luca Morini'],31 Oct 2019,https://pureportal.coventry.ac.uk/en/publications/research-as-a-game-of-empire
Socially committed practice: issues of authenticity in arts related research,"['Katherine Wimpenny', 'Victoria Barron']",24 Oct 2019,https://pureportal.coventry.ac.uk/en/publications/socially-committed-practice-issues-of-authenticity-in-arts-relate
"The attrition factor: Student engagement and teacher commitment in online, intercultural Higher Education settings","['Daniel Burgos', 'Katherine Wimpenny']",10 Sept 2019,https://pureportal.coventry.ac.uk/en/publications/the-attrition-factor-student-engagement-and-teacher-commitment-in
"The Bakla, The Agi: Our Genders Which Are Not One","['Jaya Jacobo', 'Vincent Empimano', 'Macky Torrechilla', 'Christian Tablazon']",Jul 2019,https://pureportal.coventry.ac.uk/en/publications/the-bakla-the-agi-our-genders-which-are-not-one
The JOVITAL Project: Capacity Building for Virtual Innovative Teaching and Learning in Jordan,"['Katherine Wimpenny', 'Arinola Adefila', 'Alun Dewinter', 'Valerii Dermol', 'Nada Trunk Sirca', 'Ales Trunk']",5 Dec 2019,https://pureportal.coventry.ac.uk/en/publications/the-jovital-project-capacity-building-for-virtual-innovative-teac
The role of assistive technology in renegotiating the inclusion of students with disabilities in Higher Education in North Africa,"['Deanne Clouder', 'Jacqueline Cawston', 'Katherine Wimpenny', 'Ahmed Khalifa Aly Mehanna', 'Youcef Hdouch', 'Iman Raissouni', 'Karima Selmaoui']",Aug 2019,https://pureportal.coventry.ac.uk/en/publications/the-role-of-assistive-technology-in-renegotiating-the-inclusion-o
To Grow a Tree,"['Emmanuel Johnson', 'Adetiloye Oyeyipo', 'Grace Okusanya', 'Niha Magar', 'Jonathan Napitupulu', 'Mohammed Osman', 'Christian Sterk', 'Igor Kovalenkor', 'Iliyan Ilchev', 'David Adeola', 'Joe Davis', 'Samir Rawat', 'Hassan Sharif', 'Adrian Alara']",1 Aug 2019,https://pureportal.coventry.ac.uk/en/publications/to-grow-a-tree
Understanding attainment disparity: A corpus-driven analysis of the language used in written feedback information to students of different backgrounds.,"['Sian Alsop', 'Sheena Gardner']",26 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-a-corpus-driven-analysis-of-th
Understanding Attainment Disparity: The Case for a Corpus-Driven Analysis of the Language used in Written Feedback Information to Students of Different Backgrounds ,"['Sian Alsop', 'Sheena Gardner']",2019,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-the-case-for-a-corpus-driven-a
Universities: increasingly stressful environments taking psychological toll – here’s what needs to change,['Luca Morini'],26 Mar 2019,https://pureportal.coventry.ac.uk/en/publications/universities-increasingly-stressful-environments-taking-psycholog
What can corpus analysis tell us about attainment disparity? A pilot analysis of written feedback information to students from two faculties.,"['Sian Alsop', 'Sheena Gardner']",23 Jul 2019,https://pureportal.coventry.ac.uk/en/publications/what-can-corpus-analysis-tell-us-about-attainment-disparity-a-pil
“We now know how to learn” - Introducing student-centred teaching and learning in Jordan,"['Sylwia Holmes', 'Abeer Hakouz', 'Farah Mkhiemir', 'Osama Naimi', 'Rola Said', 'Arwa Ayesh', 'Amjad Abu Hilal']",2019,https://pureportal.coventry.ac.uk/en/publications/we-now-know-how-to-learn-introducing-student-centred-teaching-and
Ady's interlude: On Lad Culture,"['Emmanuel Johnson', 'Adrienne Evans', 'Jack Dewar', 'Uche Okafor']",2018,https://pureportal.coventry.ac.uk/en/publications/adys-interlude-on-lad-culture
A new approach to digital competence building for university educators in Europe,"['Fabio Nascimbeni', 'Daniel Villar-Onrubia', 'Katherine Wimpenny', 'Daniel Burgos']",28 Feb 2018,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ
A New Approach to Digital Competence Building for University Educators in Europe,"['Fabio Nascimbeni', 'Daniel Villar-Onrubia', 'Katherine Wimpenny', 'Daniel Burgos']",2018,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ-2
"An investigation into how to assess the quality of education through curriculum intent, implementation and impact","['Alan Passingham', 'Charlotte Vidal-Hall', 'Sylwia Holmes']",2018,https://pureportal.coventry.ac.uk/en/publications/an-investigation-into-how-to-assess-the-quality-of-education-thro
Co-creativity assessment in the process of game creation,"['Margarida Romero', 'Sylvester Arnab', 'Cindy De Smet', 'Fitri Mohamad', 'Sarra Abdelouma', 'Jacey Lynn Minoi', 'Luca Morini']",1 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/co-creativity-assessment-in-the-process-of-game-creation
"Collaborative Poetics Network: A Pilot Study Exploring the Potential of Collaborative, Arts-based Research","['Johnson Helen', 'Katherine Wimpenny']",9 Feb 2018,https://pureportal.coventry.ac.uk/en/publications/collaborative-poetics-network-a-pilot-study-exploring-the-potenti
"Engaging primary schools in rural Malaysia with Game-Based Learning: Culture, Pedagogy, Technology","['Luca Morini', 'Sylvester Arnab', 'Fitri Mohamad', 'Jacey Lynn']",2018,https://pureportal.coventry.ac.uk/en/publications/engaging-primary-schools-in-rural-malaysia-with-game-based-learni
Exploring multicultural e-learning through a blended course across the Mediterranean,"['Fabio Nascimbeni', 'Daniel Burgos', 'Stefania Aceto', 'Katherine Wimpenny', 'Isidro Maya', 'Cristina Stefanelli', 'Ayman Eldieb']",23 Feb 2018,https://pureportal.coventry.ac.uk/en/publications/exploring-multicultural-e-learning-through-a-blended-course-acros
Facilitators' Perspectives as Mediators of the Local Learning Circles of the OpenMed Open Course,"['Katherine Wimpenny', 'Daniel Villar-Onrubia', 'Isidro Jariego', 'Fabio Nascimbeni', 'Daniel Burgos', 'Khalid Berrada', 'Ahmed Almakari']",10 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/facilitators-perspectives-as-mediators-of-the-local-learning-circ
Hong Kong New Wave Reflection,"['Emmanuel Johnson', 'Stephanie Silitonga', 'Mabel Alkali']",2018,https://pureportal.coventry.ac.uk/en/publications/hong-kong-new-wave-reflection
Identity (Hong Kong New Wave Short Film),"['Emmanuel Johnson', 'Stephanie Silitonga', 'Yuan Qian', 'Yizhong Zhang', 'Hong Ji Gao', 'Tao Yang', 'Hatsamon Kittipongvorokarn', 'Chad Anussornrajkit']",2018,https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film
Identity (Hong Kong New Wave Short Film): Director's Commentary,"['Emmanuel Johnson', 'Stephanie Silitonga']",2018,https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film-directors-commentary
"Jordan Opportunity for Virtual Innovative Teaching and Learning: A Needs Analysis Report Contextualising the State of the Art in International Online Teaching and Learning, with Particular Attention to the Jordanian Case","['Katherine Wimpenny', 'Arinola Adefila', 'Alun DeWinter']",13 Dec 2018,https://pureportal.coventry.ac.uk/en/publications/jordan-opportunity-for-virtual-innovative-teaching-and-learning-a
Lessons learnt from the collaborative creation and piloting of a course in Open Education for the South Mediterranean region,"['Fabio Nascimbeni', 'Daniel Burgos', 'Khalid Berrada', 'Ahmed Alkamari', 'Katherine Wimpenny', 'Cristina Stefanelli']",22 Feb 2018,https://pureportal.coventry.ac.uk/en/publications/lessons-learnt-from-the-collaborative-creation-and-piloting-of-a-
Methodological issues in researching maladministration,['Megan Crawford'],1 Apr 2018,https://pureportal.coventry.ac.uk/en/publications/methodological-issues-in-researching-maladministration
Monitoring and evaluation of the TEPD – 2018 annual report,"['Sylwia Holmes', 'Norbert Pachler', 'Abeer Hakouz', 'Farah Mkhiemir']",2018,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-tepd-2018-annual-report
"Obesity, healthy eating and physical activity in primary schools","['Susan Lewis', 'Sylwia Holmes', 'Susanna Morris']",2018,https://pureportal.coventry.ac.uk/en/publications/obesity-healthy-eating-and-physical-activity-in-primary-schools
OpenMed – Educación abierta en el sur del Mediterráneo: OpenMed - Open Education in the South-Mediterranean,"['Daniel Villar-Onrubia', 'Katherine Wimpenny', 'Sarah Kate Merry', 'Cristina Stefanelli']",30 Sept 2018,https://pureportal.coventry.ac.uk/en/publications/openmed-educaci%C3%B3n-abierta-en-el-sur-del-mediterr%C3%A1neo-openmed-open
Summary matters: How lecturers review and preview information in engineering lectures,['Sian Alsop'],5 Jul 2018,https://pureportal.coventry.ac.uk/en/publications/summary-matters-how-lecturers-review-and-preview-information-in-e
"Terminologies of ""Modern"" and ""Contemporary"" Art in Southeast Asia's Vernacular Languages: Indonesian, Javanese, Khmer, Lao, Malay, Myanmar/Burmese, Tagalog/Filipino, Thai and Vietnamese","['Thanavi Chotpradit', 'Jaya Jacobo', 'Eileen Legaspi-Ramirez', 'Roger Nelson', 'Nguyen Nhu Huy', 'Chairat Polmuk', 'San Lin Tun', 'Phoebe Scott', 'Simon Soon', 'Jim Supangkat']",1 Oct 2018,https://pureportal.coventry.ac.uk/en/publications/terminologies-of-modern-and-contemporary-art-in-southeast-asias-v
The Benefits and Challenges of Embedding Intercultural Competencies into the Postgraduate Research Provision,['Alun DeWinter'],2018,https://pureportal.coventry.ac.uk/en/publications/the-benefits-and-challenges-of-embedding-intercultural-competenci
Exploring the relationship between remote e-working and work-related well-being.,"['Maria Charalampous', 'Christine Grant', 'Carlo Tramontano', 'E Grunfield']",Jan 2017,https://pureportal.coventry.ac.uk/en/publications/exploring-the-relationship-between-remote-e-working-and-work-rela
How to evaluate quality of teacher training? - Literature review and impact indicators framework for the pre-service teacher training programme in Jordan,['Sylwia Holmes'],2017,https://pureportal.coventry.ac.uk/en/publications/how-to-evaluate-quality-of-teacher-training-literature-review-and
Monitoring and evaluation of the pre-service teacher education programme – report,"['Sylwia Holmes', 'Norbert Pachler', 'Abeer Hakouz', 'Farah Mkhiemir']",2017,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-pre-service-teacher-education-pr
Preparation for an uncertain world: international curriculum development for mental health occupational therapy,"['Katherine Wimpenny', 'Imogen Gordon', 'Loren Lewis', 'Huget Desiron', 'Hwei Lan Tan', 'Sarah Roe']",6 Sept 2017,https://pureportal.coventry.ac.uk/en/publications/preparation-for-an-uncertain-world-international-curriculum-devel-6
The impact of participation in music on learning mathematics,['Sylwia Holmes'],2017,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics
The impact of participation in music on learning mathematics.,"['Sylwia Holmes', 'Susan Hallam']",30 Nov 2017,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics-2
A Less Lonely Place of Researching,"['Luca Morini', 'Federica Jorio']",2016,https://pureportal.coventry.ac.uk/en/publications/a-less-lonely-place-of-researching
Alienation and Affect in Milan,"['Emmanuel Johnson', 'Shamim Miah', 'Shehryar Sheikh', 'Alexandru Malanca', 'Jordan Kelman', 'Kate Westran', 'Mandeep Sagoo', 'Camille Hunnigan', 'Ka Yan Candy Leung', 'Wen Li']",2016,https://pureportal.coventry.ac.uk/en/publications/alienation-and-affect-in-milan
Play as Bulwark of Uselessness,['Luca Morini'],4 May 2016,https://pureportal.coventry.ac.uk/en/publications/play-as-bulwark-of-uselessness
The many times I saved the world (or died trying),['Luca Morini'],2016,https://pureportal.coventry.ac.uk/en/publications/the-many-times-i-saved-the-world-or-died-trying
“I’ve always not been a racist”: do we need to reconsider teaching and learning about the Holocaust?,['Sylwia Holmes'],Sept 2016,https://pureportal.coventry.ac.uk/en/publications/ive-always-not-been-a-racist-do-we-need-to-reconsider-teaching-an
Developing as an Educational Leader and Manager,['Megan Crawford'],2014,https://pureportal.coventry.ac.uk/en/publications/developing-as-an-educational-leader-and-manager
Evaluation of the SkillForce 'Back on Track' programme,"['Susan Hallam', 'Lynne Rogers', 'Sylwia Holmes']",2014,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-back-on-track-programme
Evaluation of the SkillForce 'Ethos' programme,"['Susan Hallam', 'Lynne Rogers', 'Sylwia Holmes']",2014,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-ethos-programme
The restructuring of schooling in England: The responses of well-positioned headteachers,"['John Coldron', 'Megan Crawford', 'Steve Jones', 'Tim Simkins']",13 May 2014,https://pureportal.coventry.ac.uk/en/publications/the-restructuring-of-schooling-in-england-the-responses-of-well-p
Enhancing school leadership: Evaluating the use of virtual learning communities,['Megan Crawford'],1 Jan 2013,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-leadership-evaluating-the-use-of-virtual-learnin
"Il Dito ed il Link: Pensiero ed Esperienza Quotidiana dei ""Nativi Digitali""","['Luca Morini', 'Walter Fornasa']",2013,https://pureportal.coventry.ac.uk/en/publications/il-dito-ed-il-link-pensiero-ed-esperienza-quotidiana-dei-nativi-d
Turkish adaptation of the scale of “student perceptions of teachers’ knowledge (SPOTK)” and examining in the aspect of some variables,"['Ozlem Afacan', 'Mehmet Karakus', 'Muhammet Usak']",15 Apr 2013,https://pureportal.coventry.ac.uk/en/publications/turkish-adaptation-of-the-scale-of-student-perceptions-of-teacher
"""Mappe per..."" - Transizioni verso un'ecologia sociale","['Luca Morini', 'Walter Fornasa']",15 Sept 2012,https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale-2
"""Mappe per..."" - Transizioni verso un'ecologia sociale","['Luca Morini', 'Walter Fornasa']",10 Dec 2012,https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale
Mapping the Field over 40 Years: A Historical Review,"['Tony Bush', 'Megan Crawford']",5 Sept 2012,https://pureportal.coventry.ac.uk/en/publications/mapping-the-field-over-40-years-a-historical-review
Introduction,['Dimitar Angelov'],2010,https://pureportal.coventry.ac.uk/en/publications/introduction-27
Introduction,['Dimitar Angelov'],2010,https://pureportal.coventry.ac.uk/en/publications/introduction-28
Participatory action research: An integrated approach towards practice development,['Katherine Wimpenny'],7 Apr 2010,https://pureportal.coventry.ac.uk/en/publications/participatory-action-research-an-integrated-approach-towards-prac
A Heterogeneous Identity: The Case of the Etruscans,['Dimitar Angelov'],2008,https://pureportal.coventry.ac.uk/en/publications/a-heterogeneous-identity-the-case-of-the-etruscans
Eǧitim örgütlerinde entelektüel sermayenin yönetimi,['Mehmet Karakus'],2008,https://pureportal.coventry.ac.uk/en/publications/e%C7%A7itim-%C3%B6rg%C3%BCtlerinde-entelekt%C3%BCel-sermayenin-y%C3%B6netimi
Practising cultural sensitivity in virtual spaces,['Katherine Wimpenny'],30 Sept 2006,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces
The charismatic school leader:  Potent myth or persuasive effect?,['Megan Crawford'],1 Dec 2002,https://pureportal.coventry.ac.uk/en/publications/the-charismatic-school-leader-potent-myth-or-persuasive-effect
Strategic and resource management in primary schools: Evidence from OfSTED inspection reports,"['Derek Glover', 'Nigel Bennett', 'Megan Crawford', 'Rosalind Levacic']",1 Dec 1997,https://pureportal.coventry.ac.uk/en/publications/strategic-and-resource-management-in-primary-schools-evidence-fro
Fostering a culture of qualitative research and scholarly publication in a leading university in the West Bank: a Palestinian-UK capacity-building collaboration,"['Saida Affouneh', 'Katherine Wimpenny', 'Dimitar Angelov', 'Soheil Salha', 'Zuheir N. Khlaif', 'Dana Yaseen']",4 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/fostering-a-culture-of-qualitative-research-and-scholarly-publica
The engaged university: Exploring mutuality and reciprocity between and within communities inside and outside universities through ACES.,"['Katherine Wimpenny', 'Sylvester Arnab', 'Fitri Suraya Mohamad', 'Thom Thom Thom Nguyen', 'Fadhli Muhibuddin']",2023,https://pureportal.coventry.ac.uk/en/publications/the-engaged-university-exploring-mutuality-and-reciprocity-betwee
"Self-based goals, underlying reasons, performance and discrete emotions among parkrunners","['Mairi Mulvenna', 'James W. Adie', 'Carlo Tramontano']",3 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/self-based-goals-underlying-reasons-performance-and-discrete-emot
